"window_id","test_type","df1","df2","test_value","p_comp","reported_p","computed_p","error","decision_error","raw"
"hod850a2d9","Chi2",10,NA,13.76,"=",0.18,0.184222889056465,FALSE,FALSE,"v2(10) = 13.76,
p = .18"
"ho5a44a0a7","t",NA,67,1.48,"=",0.143,0.143560305398887,FALSE,FALSE,"t(67) = 1.48, p = .143"
"hoea8adc76","t",NA,99,5.59,"<",0.01,2.00932105271661e-07,FALSE,FALSE,"t(99) = 5.59,
p < .01"
"hoea8adc76","t",NA,2888,6.86,"<",0.01,8.39097138014363e-12,FALSE,FALSE,"t(2888) = 6.86, p < .01"
"ho7840598e","F",2,117,4.64,"<",0.05,0.0115027155099903,FALSE,FALSE,"F(2, 117)
= 4.64, p < .05"
"hodf1bfb86","Chi2",12,NA,9.91,"=",0.62,0.623856151111735,FALSE,FALSE,"χ2(12) = 9.91, p = .62"
"ho7283d06c","t",NA,40,2.11,"=",0.04,0.0411617993228977,FALSE,FALSE,"t(40)=2.11, p=.04"
"hoae5a0151","F",1,70,5.55,"<",0.01,0.021286390260478,TRUE,FALSE,"F(1, 70)=5.55,
p<.01"
"ho9060361d","F",1,79,5.16,"=",0.026,0.0258337571076946,FALSE,FALSE,"F(1, 79) = 5.16, p = .026"
"ho6b644e23","t",NA,79,4.08,"<",0.001,0.000106839431444117,FALSE,FALSE,"t(79) = 4.08, p < .001"
"ho69c7b81e","Chi2",50,NA,119.66,"<",0.01,1.21556228533578e-07,FALSE,FALSE,"χ2(50) = 119.66, p < .01"
"hoff1dfe6d","F",2,610,12.94,"<",0.01,3.13454263892985e-06,FALSE,FALSE,"F(2, 610) = 12.94, p < .01"
"hoe0d850c9","F",1,458,7.6,"=",0.0061,0.0060699474422142,FALSE,FALSE,"F(1, 458)=7.6, p=0.0061"
"hobd1721f6","F",2,57,1678.46,"<",0.001,2.21163370733435e-51,FALSE,FALSE,"F(2, 57) = 1678.46, p < .001"
"hoedfe92b9","F",1,215,6.67,"=",0.01,0.0104683370206965,FALSE,FALSE,"F(1, 215) = 6.67, p = 0.010"
"hoa1ab41ab","t",NA,371,0.497,"=",0.62,0.619483435048102,FALSE,FALSE,"t (371) = .497, p = .62"
"hoa1ab41ab","t",NA,264,-1.83,"=",0.07,0.0683774574238626,FALSE,FALSE,"t (264) = -1.83, p = .07"
"ho06f5272b","t",NA,52,-2.77,"=",0.008,0.00775460740788936,FALSE,FALSE,"t(52) = -2.77,
p = .008"
"ho7e196f50","F",1,415,2.78,"ns",NA,0.0962025659307726,FALSE,FALSE,"F(1, 415) =
2.78, ns"
"ho7e196f50","F",1,250,10.08,"<",0.001,0.00168689961658564,TRUE,FALSE,"F(1, 250) =
10.08, p < .001"
"ho7e196f50","F",1,540,20,"<",0.001,9.44549119966497e-06,FALSE,FALSE,"F(1, 540) = 20, p < .001"
"hoc5f72ed8","Chi2",8,NA,10.9,"=",0.21,0.207429976280561,FALSE,FALSE,"v2(8) = 10.9, p = .21"
"hob9efe07d","Chi2",1,NA,9.26,"<",0.005,0.00234213021638092,FALSE,FALSE,"χ2(1) = 9.26, p < .005"
"hod33c0073","F",1,80,205.634,"=",0,8.12010406780684e-24,TRUE,FALSE,"F (1, 80) = 205.634, p = .000"
"hoc3110f5a","F",1,18,14.8,"<",0.01,0.00118078032844707,FALSE,FALSE,"F(1, 18) = 14.8,
p < .01"
"hoaa990887","t",NA,181,-0.07,"=",0.94,0.944270937532482,FALSE,FALSE,"t(181) = .07, p = .94"
"ho17e51cb8","F",1,233,0.4,">",0.1,0.527709402142753,FALSE,FALSE,"F(1, 233) = .4, p > .1"
"ho17e51cb8","F",1,233,0.1,">",0.1,0.752112740025674,FALSE,FALSE,"F(1, 233) = .1, p > .1"
